strategy,threshold,margin,alpha,beta,gamma,source_accuracy,top1_accuracy,mrr,fpr_local,fnr_local,precision_local,recall_local,f1_local,kb_utilization,local_rate,openai_rate,openai_calls,false_compliance,total_cost,tp_local,fp_local,fn_local,tn_local,objective_source_accuracy,objective_f1_local,objective_cost
cosine_margin,0.50,0.07,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.50,0.08,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.50,0.09,0.70,0.20,0.10,0.7209,0.8478,0.8986,0.2750,0.2609,0.7556,0.7391,0.7473,0.7391,0.5233,0.2093,18,2,123.4000,34,11,12,29,0.7209,0.7473,123.4000
cosine_margin,0.50,0.10,0.70,0.20,0.10,0.7093,0.8478,0.8986,0.2750,0.2826,0.7500,0.7174,0.7333,0.7174,0.5116,0.2209,19,2,125.7000,33,11,13,29,0.7093,0.7333,125.7000
cosine_margin,0.51,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_margin,0.51,0.01,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3250,0.1304,0.7547,0.8696,0.8081,0.8696,0.6163,0.1163,10,2,125.0000,40,13,6,27,0.7674,0.8081,125.0000
cosine_margin,0.51,0.02,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.3250,0.1522,0.7500,0.8478,0.7959,0.8478,0.6047,0.1279,11,2,127.3000,39,13,7,27,0.7558,0.7959,127.3000
cosine_margin,0.51,0.03,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3250,0.1957,0.7400,0.8043,0.7708,0.8043,0.5814,0.1512,13,2,131.9000,37,13,9,27,0.7326,0.7708,131.9000
cosine_margin,0.51,0.04,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3250,0.1957,0.7400,0.8043,0.7708,0.8043,0.5814,0.1512,13,2,131.9000,37,13,9,27,0.7326,0.7708,131.9000
cosine_margin,0.51,0.05,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.51,0.06,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.51,0.07,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.51,0.08,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.51,0.09,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.2500,0.2609,0.7727,0.7391,0.7556,0.7391,0.5116,0.2209,19,2,115.7000,34,10,12,30,0.7326,0.7556,115.7000
cosine_margin,0.51,0.10,0.70,0.20,0.10,0.7209,0.8478,0.8986,0.2500,0.2826,0.7674,0.7174,0.7416,0.7174,0.5000,0.2326,20,2,118.0000,33,10,13,30,0.7209,0.7416,118.0000
cosine_margin,0.52,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_margin,0.52,0.01,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3250,0.1304,0.7547,0.8696,0.8081,0.8696,0.6163,0.1163,10,2,125.0000,40,13,6,27,0.7674,0.8081,125.0000
cosine_margin,0.52,0.02,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.3250,0.1522,0.7500,0.8478,0.7959,0.8478,0.6047,0.1279,11,2,127.3000,39,13,7,27,0.7558,0.7959,127.3000
cosine_margin,0.52,0.03,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3250,0.1957,0.7400,0.8043,0.7708,0.8043,0.5814,0.1512,13,2,131.9000,37,13,9,27,0.7326,0.7708,131.9000
cosine_margin,0.52,0.04,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3250,0.1957,0.7400,0.8043,0.7708,0.8043,0.5814,0.1512,13,2,131.9000,37,13,9,27,0.7326,0.7708,131.9000
cosine_margin,0.52,0.05,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.52,0.06,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.3000,0.1957,0.7551,0.8043,0.7789,0.8043,0.5698,0.1628,14,2,124.2000,37,12,9,28,0.7442,0.7789,124.2000
cosine_margin,0.52,0.07,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.52,0.08,0.70,0.20,0.10,0.7442,0.8478,0.8986,0.2750,0.2174,0.7660,0.7826,0.7742,0.7826,0.5465,0.1860,16,2,118.8000,36,11,10,29,0.7442,0.7742,118.8000
cosine_margin,0.52,0.09,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.2500,0.2609,0.7727,0.7391,0.7556,0.7391,0.5116,0.2209,19,2,115.7000,34,10,12,30,0.7326,0.7556,115.7000
cosine_margin,0.52,0.10,0.70,0.20,0.10,0.7209,0.8478,0.8986,0.2500,0.2826,0.7674,0.7174,0.7416,0.7174,0.5000,0.2326,20,2,118.0000,33,10,13,30,0.7209,0.7416,118.0000
cosine_margin,0.53,0.00,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3500,0.1087,0.7455,0.8913,0.8119,0.8913,0.6395,0.0930,8,2,130.4000,41,14,5,26,0.7674,0.8119,130.4000
cosine_margin,0.53,0.01,0.70,0.20,0.10,0.7674,0.8478,0.8986,0.3250,0.1304,0.7547,0.8696,0.8081,0.8696,0.6163,0.1163,10,2,125.0000,40,13,6,27,0.7674,0.8081,125.0000
cosine_margin,0.53,0.02,0.70,0.20,0.10,0.7558,0.8478,0.8986,0.3250,0.1522,0.7500,0.8478,0.7959,0.8478,0.6047,0.1279,11,2,127.3000,39,13,7,27,0.7558,0.7959,127.3000
cosine_margin,0.53,0.03,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3250,0.1957,0.7400,0.8043,0.7708,0.8043,0.5814,0.1512,13,2,131.9000,37,13,9,27,0.7326,0.7708,131.9000
cosine_margin,0.53,0.04,0.70,0.20,0.10,0.7326,0.8478,0.8986,0.3250,0.1957,0.7400,0.8043,0.7708,0.8043,0.5814,0.1512,13,2,131.9000,37,13,9,27,0.7326,0.7708,131.9000
